2026-06-11,19:00,MEX,RSA
2026-06-12,02:00,KOR,CZE
2026-06-18,16:00,CZE,RSA
2026-06-19,01:00,MEX,KOR
2026-06-25,01:00,CZE,MEX
2026-06-25,01:00,RSA,KOR
2026-06-12,19:00,CAN,BIH
2026-06-13,19:00,QAT,SUI
2026-06-18,19:00,SUI,BIH
2026-06-18,22:00,CAN,QAT
2026-06-24,19:00,SUI,CAN
2026-06-24,19:00,BIH,QAT
2026-06-13,22:00,BRA,MAR
2026-06-14,01:00,HAI,SCO
2026-06-19,22:00,SCO,MAR
2026-06-20,00:30,BRA,HAI
2026-06-24,22:00,SCO,BRA
2026-06-24,22:00,MAR,HAI
2026-06-13,01:00,USA,PAR
2026-06-14,04:00,AUS,TUR
2026-06-19,19:00,USA,AUS
2026-06-20,03:00,TUR,PAR
2026-06-26,02:00,TUR,USA
2026-06-26,02:00,PAR,AUS
2026-06-14,17:00,GER,CUW
2026-06-14,23:00,CIV,ECU
2026-06-20,20:00,GER,CIV
2026-06-21,00:00,ECU,CUW
2026-06-25,20:00,CUW,CIV
2026-06-25,20:00,ECU,GER
2026-06-14,20:00,NED,JPN
2026-06-15,02:00,SWE,TUN
2026-06-20,17:00,NED,SWE
2026-06-21,04:00,TUN,JPN
2026-06-25,23:00,JPN,SWE
2026-06-25,23:00,TUN,NED
2026-06-15,19:00,BEL,EGY
2026-06-16,01:00,IRN,NZL
2026-06-21,19:00,BEL,IRN
2026-06-22,01:00,NZL,EGY
2026-06-27,03:00,EGY,IRN
2026-06-27,03:00,NZL,BEL
2026-06-15,16:00,ESP,CPV
2026-06-15,22:00,KSA,URU
2026-06-21,16:00,ESP,KSA
2026-06-21,22:00,URU,CPV
2026-06-27,00:00,CPV,KSA
2026-06-27,00:00,URU,ESP
2026-06-16,19:00,FRA,SEN
2026-06-16,22:00,IRQ,NOR
2026-06-22,21:00,FRA,IRQ
2026-06-23,00:00,NOR,SEN
2026-06-26,19:00,NOR,FRA
2026-06-26,19:00,SEN,IRQ
2026-06-17,01:00,ARG,ALG
2026-06-17,04:00,AUT,JOR
2026-06-22,17:00,ARG,AUT
2026-06-23,03:00,JOR,ALG
2026-06-28,02:00,ALG,AUT
2026-06-28,02:00,JOR,ARG
2026-06-17,17:00,POR,COD
2026-06-18,02:00,UZB,COL
2026-06-23,17:00,POR,UZB
2026-06-24,02:00,COL,COD
2026-06-27,23:30,COL,POR
2026-06-27,23:30,COD,UZB
2026-06-17,20:00,ENG,CRO
2026-06-17,23:00,GHA,PAN
2026-06-23,20:00,ENG,GHA
2026-06-23,23:00,PAN,CRO
2026-06-27,21:00,PAN,ENG
2026-06-27,21:00,CRO,GHA
